X-Check Number,FIP Formula,,,,,Status,X-Check No.,
AL109_70,VAL_YTD(23151ffexclPL10)=0,#N/A,,,,INACTIVE,A159_00,#N/A
AS447_09,"ABS(VAL_YTD(S12301ffALC349)-VAL_YTD(IAN_00051excl.acc.type=2))<=CONST(5,'USD','E')",AS447_09,,,,ACTIVE,A159_09,#N/A
AS448_09,"ABS(VAL_YTD(S12301ffALC358)-VAL_YTD(SN_13105excl.acc.type=2))<=CONST(5,'USD','E')",AS448_09,,,,INACTIVE,A396_09,#N/A
AS602_60,"ABS(VAL_YTD(IFRSNS11520RA)-VAL_YTD(SLSTLSAS_11520n-lifeLOBsexcl.2-Aff))<=CONST(5,'USD','E')",AS602_60,,,,INACTIVE,A397_09,#N/A
AS603_60,"ABS(VAL_YTD(IFRSNS11510RA)-VAL_YTD(SLSTLSAS_11510n-lifeLOBsexcl.2-Aff.))<=CONST(5,'USD','E')",AS603_60,,,,INACTIVE,A398_09,#N/A
AS805_00,"ABS(VAL_YTD(10102excludingS31)-VAL_YTD(SST82004))<=CONST(5,'USD','E')",#N/A,,,,INACTIVE,A399_09,#N/A
AS806_00,"ABS(VAL_YTD(10102excludingS02)-VAL_YTD(SST82004))<=CONST(5,'USD','E')",#N/A,,,,ACTIVE,AL009_17,#N/A
AS807_00,"ABS(VAL_YTD(14642excludingS31)-VAL_YTD(SST82005))<=CONST(5,'USD','E')",#N/A,,,,ACTIVE,AL036_80,#N/A
AS808_00,"ABS(VAL_YTD(14642excludingS02)-VAL_YTD(SST82005))<=CONST(5,'USD','E')",#N/A,,,,INACTIVE,AL084_00,#N/A
IR007_60,"ABS(VAL_YTD(IFRSNS30010RA)-VAL_YTD(SLSTLSOC_00010n-lifeLOBsexcl.2-Aff.))<=CONST(5,'USD','E')",IR007_60,,,,ACTIVE,AL084_09,#N/A
LE413_09,"ABS(VAL_YTD(LIN_00380excl.acc.type2TOML09)+VAL_YTD(39981))<=CONST(5,'USD','E')",LE413_09,,,,ACTIVE,AL090_00,#N/A
LE414_09,"ABS(VAL_YTD(LIN_00380excl.acc.type:1,4TOML09)+VAL_YTD(39982))<=CONST(5,'USD','E')",LE414_09,,,,INACTIVE,AL134_00,#N/A
LE415_09,"ABS(VAL_YTD(LIN_00380excl.acc.type2TOML08)+VAL_YTD(39111))<=CONST(5,'USD','E')",LE415_09,,,,ACTIVE,AL160_17,#N/A
LE416_09,"ABS(VAL_YTD(LIN_00380excl.acc.type:1,4TOML08)+VAL_YTD(39112))<=CONST(5,'USD','E')",LE416_09,,,,INACTIVE,AL160_70,#N/A
LE417_09,"ABS(VAL_YTD(LIN_00380excl.acc.type=2ToML07)+VAL_YTD(78211))<=CONST(5,'USD','E')",LE417_09,,,,ACTIVE,AL163_17,#N/A
LE418_09,"ABS(VAL_YTD(LIN_00380excl.acc.type=1ToML07)+VAL_YTD(78212))<=CONST(5,'USD','E')",LE418_09,,,,ACTIVE,AL167_00,#N/A
LE419_09,"ABS(VAL_YTD(LIN_00380excl.acc.type=2ToML87)+VAL_YTD(79211))<=CONST(5,'USD','E')",LE419_09,,,,ACTIVE,AS001_09,#N/A
LE420_09,"ABS(VAL_YTD(LIN_00380excl.acc.type=1ToML87)+VAL_YTD(79212))<=CONST(5,'USD','E')",LE420_09,,,,ACTIVE,AS002_09,#N/A
LS001_17,"ABS(VAL_YTD(15541ff)+VAL_YTD(SN_27830ffexcl.2-Aff.)-VAL_YTD(S60070I17))<=CONST(1.000,'USD','E')",LS001_17,,,,ACTIVE,AS003_09,#N/A
LS233_17,"ABS(VAL_YTD(EXN_21231ffexcl.acc.type2))>=CONST(1.000,'USD','E')",LS233_17,,,,ACTIVE,AS003_17,#N/A
LS235_17,"ABS(VAL_YTD(EXN_21220ffexcl.acct.type2))>=CONST(1.000,'USD','E')",LS235_17,,,,ACTIVE,AS004_09,#N/A
LS237_17,"ABS(VAL_YTD(SN_20762excl.acct.type2))>=CONST(1.000,'USD','E')",LS237_17,,,,ACTIVE,AS005_09,#N/A
R013_17,VAL_YTD(EAN_11210ffLOBincl.PL01-PL11)+VAL_YTD(EAN_11230excl.9-ICLOBincl.PL01-PL11)=0,R013_17,,,,ACTIVE,AS006_09,#N/A
,,,,,,INACTIVE,AS007_09,#N/A
,,,,,,INACTIVE,AS008_09,#N/A
,,,,,,INACTIVE,AS009_09,#N/A
,,,,,,INACTIVE,AS010_09,#N/A
,,,,,,INACTIVE,AS011_09,#N/A
,,,,,,INACTIVE,AS012_09,#N/A
,,,,,,INACTIVE,AS013_09,#N/A
,,,,,,INACTIVE,AS014_09,#N/A
,,,,,,INACTIVE,AS015_09,#N/A
,,,,,,INACTIVE,AS016_09,#N/A
,,,,,,INACTIVE,AS017_09,#N/A
,,,,,,INACTIVE,AS018_09,#N/A
,,,,,,INACTIVE,AS019_09,#N/A
,,,,,,INACTIVE,AS020_09,#N/A
,,,,,,ACTIVE,AS021_00,#N/A
,,,,,,INACTIVE,AS021_09,#N/A
,,,,,,INACTIVE,AS022_09,#N/A
,,,,,,ACTIVE,AS027_00,#N/A
,,,,,,INACTIVE,AS066_17,#N/A
,,,,,,ACTIVE,AS130_00,#N/A
,,,,,,INACTIVE,AS131_00,#N/A
,,,,,,ACTIVE,AS132_00,#N/A
,,,,,,ACTIVE,AS134_00,#N/A
,,,,,,ACTIVE,AS135_00,#N/A
,,,,,,ACTIVE,AS136_00,#N/A
,,,,,,ACTIVE,AS138_00,#N/A
,,,,,,INACTIVE,AS182_00,#N/A
,,,,,,INACTIVE,AS184_00,#N/A
,,,,,,INACTIVE,AS185_00,#N/A
,,,,,,INACTIVE,AS186_00,#N/A
,,,,,,INACTIVE,AS188_00,#N/A
,,,,,,INACTIVE,AS197_00,#N/A
,,,,,,ACTIVE,AS197_09,#N/A
,,,,,,ACTIVE,AS197_60,#N/A
,,,,,,INACTIVE,AS198_00,#N/A
,,,,,,INACTIVE,AS198_09,#N/A
,,,,,,ACTIVE,AS198_60,#N/A
,,,,,,INACTIVE,AS201_00,#N/A
,,,,,,INACTIVE,AS201_09,#N/A
,,,,,,ACTIVE,AS201_60,#N/A
,,,,,,ACTIVE,AS202_00,#N/A
,,,,,,INACTIVE,AS203_00,#N/A
,,,,,,ACTIVE,AS447_09,AS447_09
,,,,,,ACTIVE,AS448_09,AS448_09
,,,,,,ACTIVE,AS450_00,#N/A
,,,,,,ACTIVE,AS602_60,AS602_60
,,,,,,ACTIVE,AS603_60,AS603_60
,,,,,,ACTIVE,AS621_00,#N/A
,,,,,,ACTIVE,AS622_00,#N/A
,,,,,,ACTIVE,AS642_00,#N/A
,,,,,,ACTIVE,AS643_00,#N/A
,,,,,,ACTIVE,AS644_00,#N/A
,,,,,,ACTIVE,AS645_00,#N/A
,,,,,,ACTIVE,AS646_00,#N/A
,,,,,,ACTIVE,AS647_00,#N/A
,,,,,,INACTIVE,AS800_00,#N/A
,,,,,,INACTIVE,AS801_00,#N/A
,,,,,,INACTIVE,E039_00,#N/A
,,,,,,ACTIVE,E039_17,#N/A
,,,,,,ACTIVE,ES103_70,#N/A
,,,,,,INACTIVE,IA006_80,#N/A
,,,,,,INACTIVE,IL008_00,#N/A
,,,,,,INACTIVE,IL018_00,#N/A
,,,,,,INACTIVE,IL018_80,#N/A
,,,,,,INACTIVE,IL019_00,#N/A
,,,,,,INACTIVE,IL019_80,#N/A
,,,,,,INACTIVE,IL020_00,#N/A
,,,,,,INACTIVE,IL020_80,#N/A
,,,,,,ACTIVE,IR007_60,IR007_60
,,,,,,INACTIVE,LA001_00,#N/A
,,,,,,ACTIVE,LA001_09,#N/A
,,,,,,INACTIVE,LA002_00,#N/A
,,,,,,ACTIVE,LA002_09,#N/A
,,,,,,INACTIVE,LA003_00,#N/A
,,,,,,ACTIVE,LA003_09,#N/A
,,,,,,INACTIVE,LA004_00,#N/A
,,,,,,ACTIVE,LA004_09,#N/A
,,,,,,INACTIVE,LA005_00,#N/A
,,,,,,ACTIVE,LA005_09,#N/A
,,,,,,INACTIVE,LA006_00,#N/A
,,,,,,ACTIVE,LA006_09,#N/A
,,,,,,INACTIVE,LE002_70,#N/A
,,,,,,INACTIVE,LE088_00,#N/A
,,,,,,ACTIVE,LE088_09,#N/A
,,,,,,ACTIVE,LE413_09,LE413_09
,,,,,,ACTIVE,LE413_60,#N/A
,,,,,,ACTIVE,LE414_09,LE414_09
,,,,,,ACTIVE,LE414_60,#N/A
,,,,,,ACTIVE,LE415_09,LE415_09
,,,,,,ACTIVE,LE415_60,#N/A
,,,,,,ACTIVE,LE416_09,LE416_09
,,,,,,ACTIVE,LE416_60,#N/A
,,,,,,ACTIVE,LE417_09,LE417_09
,,,,,,ACTIVE,LE418_09,LE418_09
,,,,,,ACTIVE,LE419_09,LE419_09
,,,,,,ACTIVE,LE420_09,LE420_09
,,,,,,INACTIVE,LR015_00,#N/A
,,,,,,ACTIVE,LS001_17,LS001_17
,,,,,,INACTIVE,LS002_17,#N/A
,,,,,,ACTIVE,LS004_17,#N/A
,,,,,,ACTIVE,LS005_17,#N/A
,,,,,,ACTIVE,LS006_17,#N/A
,,,,,,ACTIVE,LS007_17,#N/A
,,,,,,ACTIVE,LS008_17,#N/A
,,,,,,INACTIVE,LS009_00,#N/A
,,,,,,INACTIVE,LS010_00,#N/A
,,,,,,INACTIVE,LS013_00,#N/A
,,,,,,INACTIVE,LS014_00,#N/A
,,,,,,ACTIVE,LS140_00,#N/A
,,,,,,INACTIVE,LS141_00,#N/A
,,,,,,ACTIVE,LS181_00,#N/A
,,,,,,INACTIVE,LS182_00,#N/A
,,,,,,ACTIVE,LS183_00,#N/A
,,,,,,INACTIVE,LS201_00,#N/A
,,,,,,INACTIVE,LS201_09,#N/A
,,,,,,ACTIVE,LS201_60,#N/A
,,,,,,ACTIVE,LS202_00,#N/A
,,,,,,ACTIVE,LS215_17,#N/A
,,,,,,ACTIVE,LS225_17,#N/A
,,,,,,ACTIVE,LS227_17,#N/A
,,,,,,ACTIVE,LS233_17,LS233_17
,,,,,,INACTIVE,LS235_00,#N/A
,,,,,,ACTIVE,LS235_17,LS235_17
,,,,,,ACTIVE,LS237_17,LS237_17
,,,,,,ACTIVE,LS611_00,#N/A
,,,,,,INACTIVE,LS800_00,#N/A
,,,,,,INACTIVE,LS801_00,#N/A
,,,,,,ACTIVE,R011_17,#N/A
,,,,,,INACTIVE,R011_70,#N/A
,,,,,,ACTIVE,R012_17,#N/A
,,,,,,ACTIVE,R013_17,R013_17
,,,,,,ACTIVE,R014_17,#N/A
,,,,,,INACTIVE,RE003_00,#N/A
,,,,,,INACTIVE,RS003_00,#N/A
,,,,,,INACTIVE,RS003_09,#N/A
,,,,,,INACTIVE,RS003_17,#N/A
,,,,,,INACTIVE,RS008_00,#N/A
,,,,,,INACTIVE,RS014_00,#N/A
,,,,,,INACTIVE,RS015_00,#N/A
,,,,,,ACTIVE,RS601_00,#N/A
,,,,,,ACTIVE,SR019_00,#N/A
,,,,,,ACTIVE,SR043_00,#N/A
,,,,,,ACTIVE,SR043_60,#N/A
,,,,,,ACTIVE,SR062_00,#N/A
,,,,,,ACTIVE,SR062_60,#N/A
,,,,,,ACTIVE,SR116_60,#N/A
,,,,,,ACTIVE,SR117_60,#N/A
